date;variable;cases;population;rate
2015-01-01;4th Q (most deprived);115;1145196;10.0419491510624
2015-01-01;>60 years;37;1363204;2.71419391375025
2015-01-01;Women;243;3077146;7.89692786757599
2015-01-01;Men;209;2989423;6.99131571544074
2015-01-01;Rural;98;1487093;6.59003841723416
2015-01-01;Total;452;6066569;7.45066939813921
2015-02-01;0-15 years;86;998291;8.6147225608565
2015-02-01;16-30 years;103;920588;11.1885012622367
2015-02-01;1st Q (least deprived);66;1351669;4.88285223675323
2015-02-01;2nd Q;54;903571;5.97628741958297
2015-02-01;31-60 years;156;2787557;5.59629812054067
2015-02-01;3rd Q;69;1182419;5.83549486265021
2015-02-01;4th Q (most deprived);115;1145660;10.0378820941641
2015-02-01;>60 years;43;1363933;3.15264752740787
2015-02-01;Women;196;3078749;6.36622212463569
2015-02-01;Men;192;2991620;6.41792741056685
2015-02-01;Rural;84;1487050;5.64876769442857
2015-02-01;Total;388;6070369;6.39170370038461
2015-03-01;0-15 years;105;999304;10.5073130899106
2015-03-01;16-30 years;104;920194;11.3019645857287
2015-03-01;1st Q (least deprived);49;1349956;3.62974793252521
2015-03-01;2nd Q;43;904408;4.75449133576881
2015-03-01;31-60 years;117;2790021;4.19351682299166
2015-03-01;3rd Q;78;1178796;6.61692099396333
2015-03-01;4th Q (most deprived);104;1153950;9.01252220633476
2015-03-01;>60 years;38;1365054;2.78377265661285
2015-03-01;Women;171;3080557;5.55094419613076
2015-03-01;Men;193;2994016;6.44619133631885
2015-03-01;Rural;90;1487463;6.05057066965699
2015-03-01;Total;364;6074573;5.99219072682146
2015-04-01;0-15 years;107;999774;10.7024187466367
2015-04-01;16-30 years;80;920071;8.694981148194
2015-04-01;1st Q (least deprived);53;1349625;3.9270167639159
2015-04-01;2nd Q;41;906150;4.52463720134636
2015-04-01;31-60 years;124;2792596;4.44031288449887
2015-04-01;3rd Q;79;1179594;6.69721955181189
2015-04-01;4th Q (most deprived);96;1154710;8.31377575321942
2015-04-01;>60 years;27;1365610;1.97713842165772
2015-04-01;Women;172;3081942;5.58089672031466
2015-04-01;Men;166;2996109;5.54051938697824
2015-04-01;Rural;69;1487972;4.63718403303288
2015-04-01;Total;338;6078051;5.56099315389094
2015-05-01;0-15 years;70;1000413;6.99711019349009
2015-05-01;16-30 years;78;920159;8.47679585810713
2015-05-01;1st Q (least deprived);37;1352129;2.73642529669876
2015-05-01;2nd Q;43;907097;4.74039711298792
2015-05-01;31-60 years;110;2795048;3.93553169748784
2015-05-01;3rd Q;53;1180924;4.48801108284699
2015-05-01;4th Q (most deprived);94;1155545;8.13468969187699
2015-05-01;>60 years;30;1368721;2.19182726063237
2015-05-01;Women;142;3085279;4.60250110281761
2015-05-01;Men;146;2999062;4.86818878702741
2015-05-01;Rural;61;1488646;4.09768339820212
2015-05-01;Total;288;6084341;4.73346250645715
2015-06-01;0-15 years;76;1017402;7.47000693924329
2015-06-01;16-30 years;69;946491;7.29008516721237
2015-06-01;1st Q (least deprived);26;1502149;1.73085359707992
2015-06-01;2nd Q;38;906870;4.19023674837628
2015-06-01;31-60 years;110;2881899;3.8169276577701
2015-06-01;3rd Q;60;1180932;5.08073284490555
2015-06-01;4th Q (most deprived);108;1172073;9.21444312768915
2015-06-01;>60 years;41;1419467;2.88840811374974
2015-06-01;Women;162;3181898;5.09130085251004
2015-06-01;Men;134;3083361;4.34590695024034
2015-06-01;Rural;64;1503235;4.25748469134899
2015-06-01;Total;296;6265259;4.72446550094737
2015-07-01;0-15 years;62;1017663;6.09239011342655
2015-07-01;16-30 years;53;939403;5.6418810670181
2015-07-01;1st Q (least deprived);24;1498449;1.60165611242024
2015-07-01;2nd Q;38;903730;4.2047956801257
2015-07-01;31-60 years;96;2864190;3.35173295067716
2015-07-01;3rd Q;55;1175655;4.67824319209292
2015-07-01;4th Q (most deprived);98;1164504;8.4156001181619
2015-07-01;>60 years;44;1419475;3.0997375790345
2015-07-01;Women;127;3172362;4.00332622821733
2015-07-01;Men;128;3068369;4.17159735351257
2015-07-01;Rural;40;1498393;2.66952661951838
2015-07-01;Total;255;6240731;4.08605979011113
2015-08-01;0-15 years;74;1018220;7.26758460843433
2015-08-01;16-30 years;50;940247;5.3177516120764
2015-08-01;1st Q (least deprived);45;1501534;2.99693513433595
2015-08-01;2nd Q;29;904297;3.20691100379632
2015-08-01;31-60 years;114;2867020;3.97625408961221
2015-08-01;3rd Q;48;1176613;4.07950617577742
2015-08-01;4th Q (most deprived);91;1165124;7.81032748445659
2015-08-01;>60 years;32;1421344;2.25139023346917
2015-08-01;Women;141;3175260;4.44058124374067
2015-08-01;Men;129;3071571;4.19980524624044
2015-08-01;Rural;57;1499263;3.8018679844697
2015-08-01;Total;270;6246831;4.32219152399032
2015-09-01;0-15 years;133;1015887;13.0920072803373
2015-09-01;16-30 years;76;941319;8.07377732734599
2015-09-01;1st Q (least deprived);49;1504297;3.25733548627698
2015-09-01;2nd Q;46;905270;5.08135694323241
2015-09-01;31-60 years;141;2871580;4.91018881591319
2015-09-01;3rd Q;82;1177612;6.96324426041854
2015-09-01;4th Q (most deprived);135;1166050;11.5775481325844
2015-09-01;>60 years;65;1424385;4.56337296447239
2015-09-01;Women;213;3178287;6.70172328678939
2015-09-01;Men;202;3074884;6.56935351057146
2015-09-01;Rural;103;1499942;6.86693218804461
2015-09-01;Total;415;6253171;6.63663283796333
2015-10-01;0-15 years;166;1034183;16.0513178035222
2015-10-01;16-30 years;149;956831;15.5722379396153
2015-10-01;1st Q (least deprived);96;1536740;6.24699038223772
2015-10-01;2nd Q;70;906269;7.72397599388261
2015-10-01;31-60 years;188;2921853;6.43427304522165
2015-10-01;3rd Q;113;1197321;9.43773641320916
2015-10-01;4th Q (most deprived);179;1222112;14.6467754182923
2015-10-01;>60 years;77;1450501;5.3085106456321
2015-10-01;Women;300;3234190;9.275892881989
2015-10-01;Men;280;3129178;8.94803683267618
2015-10-01;Rural;122;1500926;8.12831545326019
2015-10-01;Total;580;6363368;9.11467009294449
2015-11-01;0-15 years;171;1036623;16.4958716910584
2015-11-01;16-30 years;145;951029;15.2466433725996
2015-11-01;1st Q (least deprived);78;1534520;5.08302270416808
2015-11-01;2nd Q;62;903893;6.85921895622601
2015-11-01;31-60 years;168;2906494;5.78015987646973
2015-11-01;3rd Q;82;1193495;6.87057758934893
2015-11-01;4th Q (most deprived);200;1215366;16.4559482493339
2015-11-01;>60 years;45;1449605;3.104293928346
2015-11-01;Women;267;3226390;8.27550296151426
2015-11-01;Men;262;3117361;8.40454474152977
2015-11-01;Rural;107;1496477;7.15012659733494
2015-11-01;Total;529;6343751;8.33891494164888
2015-12-01;0-15 years;102;1037076;9.83534475776124
2015-12-01;16-30 years;101;952428;10.6044761388787
2015-12-01;1st Q (least deprived);53;1539430;3.44283273679219
2015-12-01;2nd Q;50;905236;5.52342151659899
2015-12-01;31-60 years;131;2911014;4.50015011951162
2015-12-01;3rd Q;97;1195017;8.11703933918932
2015-12-01;4th Q (most deprived);106;1216789;8.71145284843962
2015-12-01;>60 years;47;1453229;3.23417713244093
2015-12-01;Women;184;3231763;5.69348680580847
2015-12-01;Men;197;3121984;6.31008999405506
2015-12-01;Rural;75;1497275;5.0090998647543
2015-12-01;Total;381;6353747;5.99646161548453
2016-01-01;0-15 years;121;1037765;11.6596724692006
2016-01-01;16-30 years;105;953085;11.0168557893577
2016-01-01;1st Q (least deprived);79;1542507;5.12153267375772
2016-01-01;2nd Q;61;906250;6.73103448275862
2016-01-01;31-60 years;168;2914258;5.76476070409689
2016-01-01;3rd Q;97;1196314;8.10823914122881
2016-01-01;4th Q (most deprived);124;1218071;10.1800305565111
2016-01-01;>60 years;45;1456158;3.09032398956707
2016-01-01;Women;196;3235616;6.05757914412588
2016-01-01;Men;243;3125650;7.7743829283509
2016-01-01;Rural;78;1498124;5.20651161052089
2016-01-01;Total;439;6361266;6.90114200538069
2016-02-01;0-15 years;148;1038231;14.2550164655072
2016-02-01;16-30 years;110;954608;11.523054489382
2016-02-01;1st Q (least deprived);66;1544654;4.2728015464952
2016-02-01;2nd Q;55;906877;6.06476953324431
2016-02-01;31-60 years;150;2916246;5.14359899679245
2016-02-01;3rd Q;125;1197159;10.4413866495595
2016-02-01;4th Q (most deprived);143;1219315;11.727896400848
2016-02-01;>60 years;88;1457767;6.03662999642604
2016-02-01;Women;251;3238465;7.75058553975417
2016-02-01;Men;245;3128387;7.83151189414865
2016-02-01;Rural;107;1498847;7.13882070685
2016-02-01;Total;496;6366852;7.79034913957479
2016-03-01;0-15 years;109;1029793;10.584651478501
2016-03-01;16-30 years;114;955503;11.9308887570212
2016-03-01;1st Q (least deprived);48;1538584;3.11975166776725
2016-03-01;2nd Q;69;907795;7.60083499027864
2016-03-01;31-60 years;151;2919104;5.17282015303326
2016-03-01;3rd Q;75;1198402;6.25833401479637
2016-03-01;4th Q (most deprived);121;1220541;9.91363665784271
2016-03-01;>60 years;36;1460973;2.46411124640907
2016-03-01;Women;200;3237602;6.17741155336573
2016-03-01;Men;210;3127771;6.71404652066919
2016-03-01;Rural;97;1500051;6.46644680747521
2016-03-01;Total;410;6365373;6.44109936683993
2016-04-01;0-15 years;92;1039478;8.85059616461339
2016-04-01;16-30 years;126;956770;13.169309238375
2016-04-01;1st Q (least deprived);54;1550441;3.48288003219729
2016-04-01;2nd Q;60;908555;6.60389299492051
2016-04-01;31-60 years;154;2922446;5.2695584452202
2016-04-01;3rd Q;90;1199342;7.50411475625802
2016-04-01;4th Q (most deprived);155;1221643;12.6878310603016
2016-04-01;>60 years;55;1462175;3.76151965394019
2016-04-01;Women;216;3245118;6.65615241109876
2016-04-01;Men;211;3135751;6.7288506007014
2016-04-01;Rural;68;1500888;4.53065118783014
2016-04-01;Total;427;6380869;6.691878488651
2016-05-01;0-15 years;113;1040543;10.859714591324
2016-05-01;16-30 years;110;958012;11.4821108712626
2016-05-01;1st Q (least deprived);68;1553925;4.37601557346719
2016-05-01;2nd Q;42;909776;4.6165209897821
2016-05-01;31-60 years;135;2926480;4.61305049069189
2016-05-01;3rd Q;72;1200963;5.9951888609391
2016-05-01;4th Q (most deprived);129;1222981;10.547997066185
2016-05-01;>60 years;41;1464782;2.79905132640898
2016-05-01;Women;203;3249312;6.24747638884785
2016-05-01;Men;196;3140505;6.24103448330762
2016-05-01;Rural;88;1502172;5.85818401621119
2016-05-01;Total;399;6389817;6.24431028306444
2016-06-01;0-15 years;92;1032593;8.909609110269
2016-06-01;16-30 years;95;949384;10.006488417753
2016-06-01;1st Q (least deprived);44;1542899;2.85177448426631
2016-06-01;2nd Q;40;905053;4.41963067356276
2016-06-01;31-60 years;122;2901873;4.20418123053628
2016-06-01;3rd Q;81;1193040;6.7893783946892
2016-06-01;4th Q (most deprived);111;1212273;9.15635339564603
2016-06-01;>60 years;40;1465410;2.72961150804212
2016-06-01;Women;187;3231456;5.7868651159106
2016-06-01;Men;162;3117804;5.19596485218442
2016-06-01;Rural;73;1495995;4.87969545352759
2016-06-01;Total;349;6349260;5.49670355285498
2016-07-01;0-15 years;74;1033210;7.16214515926094
2016-07-01;16-30 years;61;950535;6.41743860036716
2016-07-01;1st Q (least deprived);50;1545036;3.23617054877686
2016-07-01;2nd Q;33;905802;3.64318029768095
2016-07-01;31-60 years;118;2904907;4.06209217713338
2016-07-01;3rd Q;52;1194438;4.35351186080818
2016-07-01;4th Q (most deprived);99;1213414;8.1587982337438
2016-07-01;>60 years;34;1467450;2.31694435926267
2016-07-01;Women;155;3234824;4.79160535472718
2016-07-01;Men;132;3121278;4.22903695217152
2016-07-01;Rural;53;1497412;3.53944004722815
2016-07-01;Total;287;6356102;4.51534604070231
2016-08-01;0-15 years;71;1033725;6.86836441026385
2016-08-01;16-30 years;60;952022;6.30237536527517
2016-08-01;1st Q (least deprived);38;1547396;2.45573854397969
2016-08-01;2nd Q;28;906795;3.08779823444108
2016-08-01;31-60 years;130;2908528;4.46961487047744
2016-08-01;3rd Q;67;1202883;5.56995152479501
2016-08-01;4th Q (most deprived);114;1208128;9.43608624251735
2016-08-01;>60 years;40;1469986;2.72111435074892
2016-08-01;Women;163;3238831;5.03268000090156
2016-08-01;Men;138;3125430;4.41539244199998
2016-08-01;Rural;54;1499059;3.60225981765894
2016-08-01;Total;301;6364261;4.72953576228253
2016-09-01;0-15 years;142;1035493;13.7132747396651
2016-09-01;16-30 years;90;953591;9.43800853825172
2016-09-01;1st Q (least deprived);67;1561952;4.28950441498842
2016-09-01;2nd Q;45;898917;5.00602391544492
2016-09-01;31-60 years;176;2911490;6.0450147518968
2016-09-01;3rd Q;92;1204615;7.63729490335086
2016-09-01;4th Q (most deprived);167;1209795;13.8039915853512
2016-09-01;>60 years;53;1472305;3.5997975962861
2016-09-01;Women;220;3243056;6.78372498038887
2016-09-01;Men;241;3129823;7.70011594904888
2016-09-01;Rural;90;1497600;6.00961538461539
2016-09-01;Total;461;6372879;7.23377926993436
2016-10-01;0-15 years;176;1036886;16.9739006988232
2016-10-01;16-30 years;139;955630;14.545378441447
2016-10-01;1st Q (least deprived);74;1565072;4.72821697659916
2016-10-01;2nd Q;71;900371;7.88563825356436
2016-10-01;31-60 years;190;2915466;6.51696847090654
2016-10-01;3rd Q;109;1206407;9.03509346348289
2016-10-01;4th Q (most deprived);202;1211522;16.673242417389
2016-10-01;>60 years;66;1474508;4.47606930582947
2016-10-01;Women;320;3247779;9.85288715765451
2016-10-01;Men;251;3134711;8.00711772153797
2016-10-01;Rural;115;1499118;7.6711773189302
2016-10-01;Total;571;6382490;8.94635165899202
2016-11-01;0-15 years;200;1034086;19.3407511560934
2016-11-01;16-30 years;165;946593;17.4309338860524
2016-11-01;1st Q (least deprived);100;1562198;6.40123723113203
2016-11-01;2nd Q;86;899072;9.56541856492027
2016-11-01;31-60 years;266;2886805;9.21433903571596
2016-11-01;3rd Q;134;1168492;11.4677721370792
2016-11-01;4th Q (most deprived);221;1207612;18.3005799876119
2016-11-01;>60 years;69;1466650;4.70459891589677
2016-11-01;Women;353;3224863;10.9462014355339
2016-11-01;Men;347;3109271;11.1601722718927
2016-11-01;Rural;159;1496760;10.6229455624148
2016-11-01;Total;700;6334134;11.0512344702528
2016-12-01;0-15 years;140;1034848;13.5285568508612
2016-12-01;16-30 years;136;954974;14.2412254155611
2016-12-01;1st Q (least deprived);69;1564533;4.41026172027052
2016-12-01;2nd Q;46;917001;5.01635221771841
2016-12-01;31-60 years;260;2909788;8.93535886463206
2016-12-01;3rd Q;111;1187834;9.34474008994523
2016-12-01;4th Q (most deprived);180;1209013;14.8881773810538
2016-12-01;>60 years;99;1476168;6.70655372559221
2016-12-01;Women;358;3245991;11.0289892978754
2016-12-01;Men;277;3129787;8.85044253810243
2016-12-01;Rural;229;1497397;15.2932054759025
2016-12-01;Total;635;6375778;9.95956885575376
2017-01-01;0-15 years;173;1035367;16.7090509935124
2017-01-01;16-30 years;149;956756;15.5734586456735
2017-01-01;1st Q (least deprived);132;1567799;8.41944662549217
2017-01-01;2nd Q;95;917453;10.3547538675006
2017-01-01;31-60 years;199;2912848;6.8318017280682
2017-01-01;3rd Q;120;1189075;10.0918781405715
2017-01-01;4th Q (most deprived);165;1210319;13.6327695425751
2017-01-01;>60 years;186;1478010;12.5844886029188
2017-01-01;Women;355;3249429;10.9249963608991
2017-01-01;Men;352;3133552;11.2332586151435
2017-01-01;Rural;195;1498335;13.014446035099
2017-01-01;Total;707;6382981;11.0763293827759
2017-02-01;0-15 years;164;1036422;15.8236702810245
2017-02-01;16-30 years;133;958710;13.8728082527563
2017-02-01;1st Q (least deprived);102;1570285;6.49563614248369
2017-02-01;2nd Q;49;918467;5.33497665131137
2017-02-01;31-60 years;217;2915383;7.44327589205261
2017-02-01;3rd Q;100;1190333;8.40101047353976
2017-02-01;4th Q (most deprived);185;1212073;15.2631070900845
2017-02-01;>60 years;44;1479978;2.97301716647139
2017-02-01;Women;303;3253109;9.31416684777547
2017-02-01;Men;255;3137384;8.12779054141922
2017-02-01;Rural;122;1499335;8.1369407103816
2017-02-01;Total;558;6390493;8.73172069823095
2017-03-01;0-15 years;160;1037787;15.4174218794415
2017-03-01;16-30 years;151;960764;15.7166588256846
2017-03-01;1st Q (least deprived);95;1574018;6.03550912378385
2017-03-01;2nd Q;67;918403;7.29527233687172
2017-03-01;31-60 years;190;2918127;6.511025736714
2017-03-01;3rd Q;117;1191601;9.81872287787607
2017-03-01;4th Q (most deprived);188;1213800;15.4885483605207
2017-03-01;>60 years;62;1481462;4.18505503347369
2017-03-01;Women;284;3256945;8.71982793691634
2017-03-01;Men;279;3141195;8.88197007826639
2017-03-01;Rural;96;1500318;6.39864348758063
2017-03-01;Total;563;6398140;8.79943233502237
2017-04-01;0-15 years;107;1038264;10.3056640700246
2017-04-01;16-30 years;106;962012;11.0185735728868
2017-04-01;1st Q (least deprived);49;1576134;3.10887272275073
2017-04-01;2nd Q;32;919336;3.480773079701
2017-04-01;31-60 years;130;2920700;4.4509877769028
2017-04-01;3rd Q;104;1192620;8.72029649008066
2017-04-01;4th Q (most deprived);125;1215208;10.286304895952
2017-04-01;>60 years;32;1483593;2.15692578759808
2017-04-01;Women;183;3260037;5.61343322177018
2017-04-01;Men;192;3144532;6.10583705301775
2017-04-01;Rural;65;1501271;4.32966466414125
2017-04-01;Total;375;6404569;5.85519493973755
2017-05-01;0-15 years;138;1038736;13.2853776127909
2017-05-01;16-30 years;136;964295;14.1035678915685
2017-05-01;1st Q (least deprived);81;1580390;5.12531716854701
2017-05-01;2nd Q;52;920084;5.6516578921055
2017-05-01;31-60 years;179;2923423;6.12295928437315
2017-05-01;3rd Q;84;1192714;7.04276129902055
2017-05-01;4th Q (most deprived);158;1216873;12.9840994088948
2017-05-01;>60 years;46;1486001;3.09555646328636
2017-05-01;Women;249;3263845;7.62903875643604
2017-05-01;Men;250;3148610;7.94001162417702
2017-05-01;Rural;124;1502394;8.25349409009887
2017-05-01;Total;499;6412455;7.78173102189411
2017-06-01;0-15 years;101;1047797;9.63927172916128
2017-06-01;16-30 years;99;970761;10.1981847231193
2017-06-01;1st Q (least deprived);74;1574484;4.69995249237211
2017-06-01;2nd Q;48;917983;5.2288550005828
2017-06-01;31-60 years;171;2941493;5.81337436465088
2017-06-01;3rd Q;77;1219760;6.31271725585361
2017-06-01;4th Q (most deprived);148;1238412;11.9507885905498
2017-06-01;>60 years;71;1500540;4.73162994655258
2017-06-01;Women;214;3289695;6.50516233267826
2017-06-01;Men;228;3170896;7.19039665760088
2017-06-01;Rural;95;1509952;6.29159072606282
2017-06-01;Total;442;6460591;6.8414793631109
2017-07-01;0-15 years;80;1051397;7.60892412666196
2017-07-01;16-30 years;94;975748;9.6336349139327
2017-07-01;1st Q (least deprived);68;1578037;4.30915117959845
2017-07-01;2nd Q;50;919967;5.43497755897766
2017-07-01;31-60 years;147;2952145;4.97943021091444
2017-07-01;3rd Q;64;1222609;5.23470708951104
2017-07-01;4th Q (most deprived);120;1241107;9.66878762266267
2017-07-01;>60 years;52;1507854;3.44860974603642
2017-07-01;Women;180;3302909;5.44974142490756
2017-07-01;Men;193;3184235;6.0611104393991
2017-07-01;Rural;71;1525424;4.6544436169878
2017-07-01;Total;373;6487144;5.74983382517792
2017-08-01;0-15 years;77;1052652;7.31485809175302
2017-08-01;16-30 years;103;979239;10.5183719194191
2017-08-01;1st Q (least deprived);110;1583615;6.94613274059667
2017-08-01;2nd Q;40;922831;4.33448811320816
2017-08-01;31-60 years;179;2959203;6.04892601149702
2017-08-01;3rd Q;89;1226424;7.2568703808797
2017-08-01;4th Q (most deprived);126;1244593;10.123791472393
2017-08-01;>60 years;84;1515198;5.5438299152982
2017-08-01;Women;237;3312385;7.15496537993017
2017-08-01;Men;206;3193907;6.44978078572732
2017-08-01;Rural;78;1528829;5.10194403690668
2017-08-01;Total;443;6506292;6.80879370308003
